# 格式：单词|词性|义项(用;分隔，带*者为四级常考义)|等级(A基础 B核心 C进阶)|搭配/派生提示
daily|adj./adv.|*日常的;每天|A|daily routine 日常作息
damage|n./v.|*损害,损坏;赔偿金|A|cause damage to 对…造成损害
data|n.|*数据,资料|A|data analysis 数据分析
deadline|n.|*截止日期,最后期限|B|meet the deadline 赶上期限
debate|n./v.|*辩论,讨论|B|debate on/about 关于…的辩论
decade|n.|*十年,十年期|A|over the past decade 在过去十年里
decline|n./v.|*下降,衰退;婉拒|B|a sharp decline 急剧下降
decorate|v.|*装饰,装修|A|
decrease|n./v.|*减少,降低|A|decrease by 减少了
defeat|v./n.|*击败;失败|A|
defend|v.|*保卫;辩护|B|defend against 防御
define|v.|*下定义;界定|B|be defined as 被定义为
definitely|adv.|*肯定地,明确地|A|
degree|n.|*程度;学位;度数|A|to some degree 在某种程度上
delay|n./v.|*延误,推迟|A|delay doing 推迟做
deliberate|adj.|*故意的;从容的|C|
delicate|adj.|*精致的;微妙的;脆弱的|C|
deliver|v.|*递送;发表;接生;实现(承诺)|A|deliver a speech 发表演讲
demand|n./v.|*需求;要求|A|in great demand 需求量大
demonstrate|v.|*证明,表明;演示;示威|B|demonstrate that 表明
deny|v.|*否认;拒绝给予|B|deny doing 否认做过
depart|v.|*离开,出发;背离|C|depart from 从…出发/偏离
depend|v.|*依靠,取决于|A|depend on 取决于;rely on 同义
deposit|n./v.|*存款;押金;沉积;存放|C|
depress|v.|*使沮丧;使萧条|B|
derive|v.|*得到;源于|C|derive from 源自
describe|v.|*描述,形容|A|describe sb as 把某人描述为
deserve|v.|*应得,值得|B|deserve to do 理应
design|n./v.|*设计;图案;意图|A|be designed to 旨在
desire|n./v.|*渴望,欲望|A|a desire for 对…的渴望
despite|prep.|*尽管,虽然|A|despite the fact that 尽管
destruction|n.|*破坏,毁灭|B|
determine|v.|*决定,确定;下决心|A|be determined to do 决心做
develop|v.|*发展;培养;开发;冲洗(照片)|A|develop a habit 养成习惯
device|n.|*装置,设备;手段,策略;花招|B|electronic device 电子设备
devote|v.|*奉献,投入|B|devote oneself to 献身于
discipline|n./v.|*纪律;学科;训练;惩罚|B|
discourage|v.|*使气馁;阻拦|B|discourage sb from 劝阻某人
discover|v.|*发现,发觉|A|
discuss|v.|*讨论,商议|A|
disease|n.|*疾病|A|
dismiss|v.|*解散;解雇;不予考虑|B|dismiss sb from 解雇
display|n./v.|*展示,陈列;显示;表现|B|on display 展出
dispose|v.|*处理,处置;使倾向于|C|dispose of 处理掉
distinct|adj.|*截然不同的;清晰的|B|be distinct from 与…不同
distinguish|v.|*区分,辨别|B|distinguish A from B 区分
distribute|v.|*分发;分布|B|distribute among 在…之间分配
diverse|adj.|*多样的,不同的|B|diverse cultures 多元文化
domestic|adj.|*国内的;家庭的;驯养的|B|domestic market 国内市场
dominate|v.|*支配,占主导地位|B|be dominated by 由…主导
dramatic|adj.|*显著的,引人注目的;戏剧性的|B|a dramatic increase 急剧增长
