# 格式：单词|词性|义项(用;分隔，带*者为四级常考义)|等级(A基础 B核心 C进阶)|搭配/派生提示
narrow|adj./v.|*狭窄的;勉强的;使变窄|A|narrow down 缩小范围
nation|n.|*国家,民族;国民|A|developing nation 发展中国家
native|adj./n.|*本地的;天生的;本国人;本地人|A|native speaker 母语者
natural|adj.|*自然的;天生的;正常的|A|natural resources 自然资源
negative|adj.|*消极的,负面的;否定的;阴性的|A|negative impact 负面影响
neglect|v./n.|*忽视,疏忽;漏做|B|neglect to do 疏忽做
negotiate|v.|*谈判,协商|B|negotiate with 与…谈判
nerve|n.|*神经;勇气;胆量|B|lose one's nerve 失去勇气
network|n./v.|*网络;人际关系网;建立网络|A|social network 社交网络
nevertheless|adv.|*然而,不过|B|
normal|adj.|*正常的,标准的;师范的|A|above normal 高于正常
notice|v./n.|*注意到;通知;注意;布告|A|take notice of 注意
novel|n./adj.|*小说;新颖的,新奇的|A|a novel approach 新颖的方法
numerous|adj.|*众多的,许多的|B|
nurture|v./n.|*养育,培养;滋养|C|nurture talent 培养人才
nutrition|n.|*营养,营养学|C|balanced nutrition 均衡营养
obey|v.|*服从,遵守|A|obey the rules 遵守规则
object|n./v.|*物体;目标;宾语;反对|A|object to 反对
objective|n./adj.|*目标;客观的|B|objective view 客观看法
obligation|n.|*义务,责任|B|under an obligation 有义务
observe|v.|*观察;遵守;庆祝;评论|A|observe the rules 遵守规则
obstacle|n.|*障碍,障碍物;干扰;妨碍|B|obstacle to …的障碍
obtain|v.|*获得,得到|B|obtain a degree 取得学位
obvious|adj.|*明显的,显而易见的|A|it is obvious that 显然
occasion|n.|*场合,时刻;时机;原因|A|on occasion 有时
occupy|v.|*占据;占用;使忙于;居住|B|be occupied with 忙于
occur|v.|*发生;出现;想起|A|occur to sb 某人想到
odd|adj.|*奇怪的;奇数的;临时的;剩余的|A|odd jobs 零工
offend|v.|*冒犯,得罪;违犯|be offended by 被…冒犯
offer|v./n.|*提供;提出;报价;主动提议|A|offer to do 主动提出做
official|n./adj.|*官员;官方的,正式的|A|official language 官方语言
offset|v./n.|*抵消,弥补;补偿|C|offset the cost 抵消成本
operate|v.|*运转,操作;动手术;经营|A|operate on 给…做手术
opponent|n.|*对手,反对者|B|defeat an opponent 击败对手
opportunity|n.|*机会,时机|A|take the opportunity 抓住机会
oppose|v.|*反对,反抗|B|be opposed to 反对
optimistic|adj.|*乐观的|B|be optimistic about 对…乐观
option|n.|*选择,选项;选修课;期权|A|have no option but to 别无选择只能
organ|n.|*器官;机构;风琴;机关报|B|
organic|adj.|*有机的;器官的;有组织的|B|organic food 有机食品
organize|v.|*组织,筹办;整理;使有条理|A|organize an event 组织活动
origin|n.|*起源,起因;出身,血统|A|origin of …的起源
original|adj./n.|*最初的,原始的;独创的;原作|A|original plan 原计划
otherwise|adv./conj.|*否则;除此以外;以别的方式|A|or otherwise 或其他
outcome|n.|*结果,成果;结局|A|the outcome of …的结果
outline|n./v.|*大纲,概要;轮廓;概述|B|outline the main points 概述要点
output|n.|*产量;输出;作品|B|annual output 年产量
outstanding|adj.|*杰出的,突出的;未解决的|A|outstanding achievement 杰出成就
overall|adj./adv.|*总体的;全面地;工装裤|B|overall situation 总体形势
overcome|v.|*克服,战胜;被(感情)压倒|A|overcome difficulties 克服困难
overlook|v.|*忽视,忽略;俯视;宽恕|B|overlook a detail 忽略细节
oversee|v.|*监督,管理|C|oversee a project 监督项目
overwhelming|adj.|*巨大的;压倒性的;无法抵挡的|C|overwhelming majority 压倒性多数
owe|v.|*欠(债);归功于;应给予|A|owe sth to sb 把…归功于某人
pace|n./v.|*速度,节奏;步速;踱步|A|keep pace with 跟上
painful|adj.|*痛苦的;费力的|A|
panel|n.|*专门小组;面板;仪表盘|B|a panel of experts 专家小组
panic|n./v.|*恐慌,惊慌;使恐慌|B|in panic 惊慌地
parallel|adj./n./v.|*平行的;类似的;相似之处;与…相似|C|parallel to 与…平行
parcel|n./v.|*包裹,小包;打包|C|
participate|v.|*参加,参与|A|participate in 参加
particular|adj.|*特定的;特别的;讲究的|A|in particular 尤其
passion|n.|*热情,激情;酷爱|B|passion for 对…的热爱
passive|adj.|*被动的;消极的|B|passive smoking 被动吸烟
patient|n./adj.|*病人;有耐心的|A|be patient with 对…有耐心
pattern|n./v.|*模式,方式;图案;模范;仿制|A|behavior pattern 行为模式
pause|n./v.|*暂停,中止;犹豫|A|
peak|n./adj./v.|*顶峰;高峰的;达到高峰|A|at the peak of 在…的顶峰
peculiar|adj.|*独特的;奇怪的;特有的|C|peculiar to 为…所特有
penalty|n.|*处罚,惩罚;罚金|B|death penalty 死刑
perceive|v.|*察觉,感知;理解,认为|B|perceive A as 把A视为
percent|n.|*百分比|A|
permanent|adj.|*永久的,长期的|B|permanent job 固定工作
permit|v./n.|*允许,许可;许可证|A|permit sb to do 允许某人做
persist|v.|*坚持;持续存在|B|persist in 坚持
personal|adj.|*个人的;私人的;亲自的|A|personal information 个人信息
perspective|n.|*观点,角度;透视法;远景|B|from the perspective of 从…角度看
persuade|v.|*说服,劝服|A|persuade sb to do 说服某人做
phase|n./v.|*阶段,时期;分阶段进行|B|initial phase 初始阶段
phenomenon|n.|*现象;非凡的人或事|B|natural phenomenon 自然现象
physical|adj.|*身体的;物质的;物理的|A|physical exercise 体育锻炼
pile|n./v.|*堆,一堆;堆积;桩|A|a pile of 一堆
