# 格式：单词|词性|义项(用;分隔，带*者为四级常考义)|等级(A基础 B核心 C进阶)|搭配/派生提示
sacrifice|n./v.|*牺牲;献祭;舍弃;亏本出售|B|sacrifice A for B 为B牺牲A
safety|n.|*安全,平安;安全场所|A|safety belt 安全带
salary|n.|*薪水,薪金(多指月薪/年薪)|A|annual salary 年薪
sample|n./v.|*样本,样品;试用;取样;体验|B|a sample of 一份样本
satisfy|v.|*满足,使满意;使确信;符合|A|be satisfied with 对…满意
scale|n./v.|*规模;等级;刻度;比例;天平;攀登;鳞片|B|on a large scale 大规模地
scarce|adj.|*稀缺的,不足的;罕见的|B|scarce resources 稀缺资源
scatter|v.|*散开,散布;撒;驱散|B|scatter across 散布在
schedule|n./v.|*时间表,日程;安排;时刻表;清单|A|ahead of schedule 提前
scheme|n./v.|*计划,方案;阴谋,诡计;规划|B|pension scheme 养老金计划
scholarship|n.|*奖学金;学问,学术成就|B|win a scholarship 获得奖学金
scope|n.|*范围,领域;机会,余地;视野|B|within the scope of 在…范围内
score|n./v.|*分数,得分;二十;得分;评分;刻痕|A|a score of 二十个
scratch|v./n.|*抓,挠;划伤;取消;抓痕;起跑线|B|from scratch 从零开始
screen|n./v.|*屏幕;屏风;帘;筛子;掩蔽;放映;遮蔽;筛查;甄别|A|on screen 在屏幕上;screen out 筛除
secure|adj./v.|*安全的;可靠的;获得;保护;担保;固定|B|secure a job 谋得工作
seek|v.|*寻找,寻求;试图;请求|A|seek for 寻求
seemingly|adv.|*看起来,表面上;似乎|B|
segment|n./v.|*部分,片段;分割|a segment of 一部分
seize|v.|*抓住;夺取;抓住(机会);理解;查封|B|seize the opportunity 抓住机会
seldom|adv.|*很少,不常|A|
select|v./adj.|*选择,挑选;精选的;优等的|A|select from 从…中挑选
senior|adj./n.|*级别高的;年长的;高年级的;上级,长辈;资格较老的|A|senior citizen 老年人
sensible|adj.|*明智的,合理的;察觉到的|B|sensible choice 明智的选择
sensitive|adj.|*敏感的;灵敏的;体贴的;易生气的|B|be sensitive to 对…敏感
separate|adj./v.|*分开的,各自的;分开,分离;区分;分居|A|separate A from B 把A与B分开
sequence|n.|*顺序,次序;连续;序列|B|in sequence 依次
severe|adj.|*严重的;严厉的;严峻的;朴素的|B|severe weather 恶劣天气
shift|n./v.|*转变,转移;轮班;换挡;移动;改变|A|shift from …to 从…转向
shortage|n.|*不足,短缺|a shortage of 短缺
shortcoming|n.|*缺点,短处|B|
shrink|v.|*收缩,缩小;退缩;减少|B|shrink from 回避
significant|adj.|*重要的,重大的;显著的;意味深长的|A|a significant increase 显著增长
similar|adj.|*相似的,类似的|A|be similar to 与…相似
simplify|v.|*简化,使简易|B|simplify the process 简化流程
simulate|v.|*模拟,模仿;假装|C|simulate a scene 模拟场景
simultaneously|adv.|*同时地|C|occur simultaneously 同时发生
sincere|adj.|*真诚的,诚挚的|B|sincere thanks 诚挚的感谢
situation|n.|*情况,形势;处境;地理位置|A|current situation 现状
skilled|adj.|*熟练的,有技能的;需要技能的|A|skilled worker 技术工人
slender|adj.|*苗条的;微薄的,不足的|C|slender hope 渺茫的希望
slight|adj./v./n.|*轻微的;纤细的;轻视;怠慢|A|a slight change 细微变化
slim|adj./v.|*苗条的;微小的;变苗条;缩减|B|slim chance 机会渺茫
