# 格式：单词|词性|义项(用;分隔，带*者为四级常考义)|等级(A基础 B核心 C进阶)|搭配/派生提示
stability|n.|*稳定,稳固;稳定性|A|social stability 社会稳定
statistic|n./adj.|*统计数字,统计资料;统计学|B|official statistics 官方统计
straightforward|adj.|*简单的,易懂的;坦率的|B|a straightforward answer 直截了当的回答
stream|n./v.|*小河,溪流;流,一股;潮流;流动;流出;飘扬;按能力分班|A|a stream of 一连串
strength|n.|*力量,力气;强度;长处;实力;人数优势|A|strengths and weaknesses 优缺点
stressful|adj.|*压力重的,紧张的|A|stressful job 压力大的工作
stride|n./v.|*大步;步幅;进展;迈大步走;跨越|B|make strides 取得进展
stroke|n./v.|*中风;击打;划水;一笔,一画;抚摸;敲响;划(船);轻抚|B|have a stroke 中风
studio|n.|*工作室,录音室;摄影棚;画室;电影制片厂|B|film studio 电影制片厂
subjective|adj.|*主观的;主语的|C|subjective view 主观看法
submit|v.|*提交,呈递;屈服,服从;认为,建议|B|submit an application 提交申请
subordinate|adj./n./v.|*下级的;次要的;部下;使居于次要地位|be subordinate to 从属于
subscribe|v.|*订阅;订购;同意,赞成;捐款;认购|B|subscribe to 订阅/同意
succeed|v.|*成功;继承;接着发生;继任|A|succeed in doing 成功做成
success|n.|*成功,成就;成功的人或事|A|achieve success 取得成功
successive|adj.|*连续的,接连的;依次的|B|successive years 连年
suicide|n./adj./v.|*自杀;自杀行为;自杀性的;自杀|B|commit suicide 自杀
summarize|v.|*总结,概括,概述|B|summarize the findings 总结发现
summit|n./v.|*峰会,首脑会议;山顶,顶点;最高级;参加峰会;达到顶点|B|summit meeting 峰会
superb|adj.|*极好的,一流的;杰出的,出色的|B|superb performance 出色的表现
supervise|v.|*监督,管理;指导;查看|B|supervise the work 监督工作
surge|v./n.|*激增,急剧上升;汹涌;涌动;蜂拥向前;浪涛;激增;急剧上升|B|surge in 在…激增
surgery|n.|*外科手术;外科诊所;门诊时间;手术室;手术|B|undergo surgery 接受手术
